FREE,START,END,NAME,COUNT
ZZZ,2017,2019,Donald Trump,45
ZZZ,2009,2017,Barack Obama,44
ZZZ,2001,2009,George W. Bush,43
ZZZ,1993,2001,Bill Clinton,42
ZZZ,1989,1993,George H. W. Bush,41
ZZZ,1981,1989,Ronald Reagan,40
ZZZ,1977,1981,Jimmy Carter,39
ZZZ,1974,1977,Gerald Ford,38
ZZZ,1969,1974,Richard Nixon,37
ZZZ,1963,1969,Lyndon B. Johnson,36
ZZZ,1961,1963,John F. Kennedy,35
ZZZ,1953,1961,Dwight D. Eisenhower,34
ZZZ,1945,1953,Harry S. Truman,33
ZZZ,1933,1945,Franklin D. Roosevelt,32
ZZZ,1929,1933,Herbert Hoover,31
ZZZ,1923,1929,Calvin Coolidge,30
ZZZ,1921,1923,Warren G. Harding,29
ZZZ,1913,1921,Woodrow Wilson,28
ZZZ,1909,1913,William Howard Taft,27
ZZZ,1901,1909,Theodore Roosevelt,26
ZZZ,1897,1901,William McKinley,25
ZZZ,1893,1897,Grover Cleveland,24
ZZZ,1889,1893,Benjamin Harrison,23
ZZZ,1885,1889,Grover Cleveland,22
ZZZ,1881,1885,Chester A. Arthur,21
ZZZ,1881,1881,James A. Garfield,20
ZZZ,1877,1881,Rutherford B. Hayes,19
ZZZ,1869,1877,Ulysses S. Grant,18
ZZZ,1865,1869,Andrew Johnson,17
ZZZ,1861,1865,Abraham Lincoln,16
ZZZ,1857,1861,James Buchanan,15
ZZZ,1853,1857,Franklin Pierce,14
ZZZ,1850,1853,Millard Fillmore,13
ZZZ,1849,1850,Zachary Taylor,12
ZZZ,1845,1849,James K. Polk,11
ZZZ,1841,1845,John Tyler,10
ZZZ,1841,1841,William Henry Harrison,9
ZZZ,1837,1841,Martin Van Buren,8
ZZZ,1829,1837,Andrew Jackson,7
ZZZ,1825,1829,John Quincy Adams,6
ZZZ,1817,1825,James Monroe,5
ZZZ,1809,1817,James Madison,4
ZZZ,1801,1809,Thomas Jefferson,3
ZZZ,1797,1801,John Adams,2
ZZZ,1789,1797,George Washington,1
