link,name_raw,slug
https://www.congress.gov/member/james-abdnor/A000009,"Senator Abdnor, James",james-abdnor/A000009
https://www.congress.gov/member/neil-abercrombie/A000014,"Representative Abercrombie, Neil",neil-abercrombie/A000014
https://www.congress.gov/member/james-abourezk/A000017,"Senator Abourezk, James",james-abourezk/A000017
https://www.congress.gov/member/ralph-abraham/A000374,"Representative Abraham, Ralph Lee",ralph-abraham/A000374
https://www.congress.gov/member/spencer-abraham/A000355,"Senator Abraham, Spencer",spencer-abraham/A000355
https://www.congress.gov/member/bella-abzug/A000018,"Representative Abzug, Bella S.",bella-abzug/A000018
https://www.congress.gov/member/anibal-acevedo-vila/A000359,"Representative Acevedo-Vila, Anibal",anibal-acevedo-vila/A000359
https://www.congress.gov/member/gary-ackerman/A000022,"Representative Ackerman, Gary L.",gary-ackerman/A000022
https://www.congress.gov/member/alma-adams/A000370,"Representative Adams, Alma S.",alma-adams/A000370
https://www.congress.gov/member/brockman-adams/A000031,"Senator Adams, Brock",brockman-adams/A000031
https://www.congress.gov/member/sandy-adams/A000366,"Representative Adams, Sandy",sandy-adams/A000366
https://www.congress.gov/member/joseph-addabbo/A000052,"Representative Addabbo, Joseph P.",joseph-addabbo/A000052
https://www.congress.gov/member/robert-aderholt/A000055,"Representative Aderholt, Robert B.",robert-aderholt/A000055
https://www.congress.gov/member/john-adler/A000364,"Representative Adler, John H.",john-adler/A000364
https://www.congress.gov/member/pete-aguilar/A000371,"Representative Aguilar, Pete",pete-aguilar/A000371
https://www.congress.gov/member/george-aiken/A000062,"Senator Aiken, George",george-aiken/A000062
https://www.congress.gov/member/daniel-akaka/A000069,"Senator Akaka, Daniel K.",daniel-akaka/A000069
https://www.congress.gov/member/w-akin/A000358,"Representative Akin, W. Todd",w-akin/A000358
https://www.congress.gov/member/carl-albert/A000073,"Representative Albert, Carl",carl-albert/A000073
https://www.congress.gov/member/donald-albosta/A000076,"Representative Albosta, Donald J.",donald-albosta/A000076
https://www.congress.gov/member/william-alexander/A000103,"Representative Alexander, Bill",william-alexander/A000103
https://www.congress.gov/member/lamar-alexander/A000360,"Senator Alexander, Lamar",lamar-alexander/A000360
https://www.congress.gov/member/rodney-alexander/A000361,"Representative Alexander, Rodney",rodney-alexander/A000361
https://www.congress.gov/member/a-allard/A000109,"Senator Allard, Wayne",a-allard/A000109
https://www.congress.gov/member/clifford-allen/A000118,"Representative Allen, Clifford R.",clifford-allen/A000118
https://www.congress.gov/member/george-allen/A000121,"Senator Allen, George",george-allen/A000121
https://www.congress.gov/member/james-allen/A000127,"Senator Allen, James B.",james-allen/A000127
https://www.congress.gov/member/maryon-allen/A000139,"Senator Allen, Maryon",maryon-allen/A000139
https://www.congress.gov/member/rick-allen/A000372,"Representative Allen, Rick W.",rick-allen/A000372
https://www.congress.gov/member/thomas-allen/A000357,"Representative Allen, Thomas H.",thomas-allen/A000357
https://www.congress.gov/member/colin-allred/A000376,"Representative Allred, Colin Z.",colin-allred/A000376
https://www.congress.gov/member/jason-altmire/A000362,"Representative Altmire, Jason",jason-altmire/A000362
https://www.congress.gov/member/justin-amash/A000367,"Representative Amash, Justin",justin-amash/A000367
https://www.congress.gov/member/jerome-ambro/A000170,"Representative Ambro, Jerome A.",jerome-ambro/A000170
https://www.congress.gov/member/joseph-ammerman/A000177,"Representative Ammerman, Joseph S.",joseph-ammerman/A000177
https://www.congress.gov/member/mark-amodei/A000369,"Representative Amodei, Mark E.",mark-amodei/A000369
https://www.congress.gov/member/glenn-anderson/A000189,"Representative Anderson, Glenn M.",glenn-anderson/A000189
https://www.congress.gov/member/john-anderson/A000195,"Representative Anderson, John B.",john-anderson/A000195
https://www.congress.gov/member/wendell-anderson/A000202,"Senator Anderson, Wendell R.",wendell-anderson/A000202
https://www.congress.gov/member/ike-andrews/A000207,"Representative Andrews, Ike",ike-andrews/A000207
https://www.congress.gov/member/mark-andrews/A000208,"Senator Andrews, Mark",mark-andrews/A000208
https://www.congress.gov/member/michael-andrews/A000209,"Representative Andrews, Michael",michael-andrews/A000209
https://www.congress.gov/member/robert-andrews/A000210,"Representative Andrews, Robert E.",robert-andrews/A000210
https://www.congress.gov/member/thomas-andrews/A000211,"Representative Andrews, Thomas H.",thomas-andrews/A000211
https://www.congress.gov/member/frank-annunzio/A000212,"Representative Annunzio, Frank",frank-annunzio/A000212
https://www.congress.gov/member/beryl-anthony/A000213,"Representative Anthony, Beryl, Jr.",beryl-anthony/A000213
https://www.congress.gov/member/douglas-applegate/A000214,"Representative Applegate, Douglas",douglas-applegate/A000214
https://www.congress.gov/member/bill-archer/A000215,"Representative Archer, Bill",bill-archer/A000215
https://www.congress.gov/member/michael-arcuri/A000363,"Representative Arcuri, Michael A.",michael-arcuri/A000363
https://www.congress.gov/member/leslie-arends/A000216,"Representative Arends, Leslie C.",leslie-arends/A000216
https://www.congress.gov/member/dick-armey/A000217,"Representative Armey, Richard K.",dick-armey/A000217
https://www.congress.gov/member/kelly-armstrong/A000377,"Representative Armstrong, Kelly",kelly-armstrong/A000377
https://www.congress.gov/member/william-armstrong/A000219,"Senator Armstrong, William L.",william-armstrong/A000219
https://www.congress.gov/member/jodey-arrington/A000375,"Representative Arrington, Jodey C.",jodey-arrington/A000375
https://www.congress.gov/member/jean-ashbrook/A000220,"Representative Ashbrook, Jean",jean-ashbrook/A000220
https://www.congress.gov/member/john-ashbrook/A000221,"Representative Ashbrook, John M.",john-ashbrook/A000221
https://www.congress.gov/member/john-ashcroft/A000356,"Senator Ashcroft, John",john-ashcroft/A000356
https://www.congress.gov/member/brad-ashford/A000373,"Representative Ashford, Brad",brad-ashford/A000373
