Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Ending stocks,Shipments,Carcass Amount,Retail Amount,Boneless Amount,Pcc Carcass Amount,Pcc Retail Amount,Pcc Boneless Amount, 
1970,Red Meat Poultry Fish ,Pounds,Beef,205.052,21684,1792,352.895,23828.895,39.955,338.365,,23450.575,17353.4255,16368.50135,114.3640394,84.62938913,79.82609948,
1971,Red Meat Poultry Fish ,Pounds,Beef,207.661,21904,1734,338.365,23976.365,55.1187,365.972,,23555.2743,17430.90298,16441.58146,113.4313824,83.93922297,79.17510491,
1972,Red Meat Poultry Fish ,Pounds,Beef,209.896,22413,1960,365.972,24738.972,69.4633,476.94436,,24192.56434,17902.49761,16886.40991,115.2597684,85.29222859,80.45131832,
1973,Red Meat Poultry Fish ,Pounds,Beef,211.909,21278,1990,476.94436,23744.94436,106.559,580.0272,,23058.35816,17063.18504,16094.734,108.8125477,80.52128526,75.95115826,
1974,Red Meat Poultry Fish ,Pounds,Beef,213.854,23137,1615,580.0272,25332.0272,73.625,518.72364,,24739.67856,18307.36213,17268.29563,115.6848998,85.60682585,80.74806005,
1975,Red Meat Poultry Fish ,Pounds,Beef,215.973,23975,1758,518.72364,26251.72364,66.384,455.68688,,25729.65276,19039.94304,17959.29763,119.1336545,88.15890432,83.15529083,
1976,Red Meat Poultry Fish ,Pounds,Beef,218.035,25969,2073.2,455.68688,28497.88688,87.466,606.05408,71,27733.3668,20522.69143,19357.89003,127.1968574,94.12567447,88.78340645,
1977,Red Meat Poultry Fish ,Pounds,Beef,220.239,25279,1938.9,606.05408,27823.95408,97.592,411.65808,69,27245.704,20161.82096,19017.50139,123.7097154,91.54518936,86.34938132,
1978,Red Meat Poultry Fish ,Pounds,Beef,222.585,24241,2297.1,411.65808,26949.75808,160.241,528.65856,54,26206.85852,19393.0753,18292.38725,117.738655,87.12660469,82.18158118,
1979,Red Meat Poultry Fish ,Pounds,Beef,225.055,21447,2404.8,528.65856,24380.45856,166.61,458.88984,49,23705.95872,17542.40945,16546.75919,105.3340682,77.94721047,73.52317961,
