,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
0,2017-2018,42,PENNSYLVANIA,PA,Chester Co Family Academy CS,Chester Co Family Academy CS,1,,PA-124152880,4200012,PA-124152880-7514,420001200311,4200311,530 E. Union Street,,,West Chester,PA,19382,,530 E. Union Street,,,West Chester,PA,19382,,(610)696-5910,http://www.ccfaschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,124159002.0,West Chester Area SD,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,02,Elementary,As reported,530 E. Union Street,,West Chester,,,"530 E. Union Street, West Chester, PA, 19382",0,,Tie,,,,,PA,,,,19382
1,2017-2018,42,PENNSYLVANIA,PA,Harambee Institute of Science and Techno,Harambee Institute of Science and Technology CS,1,,PA-126512850,4200014,PA-126512850-7511,420001400319,4200319,640 N 66th St,,,Philadelphia,PA,19151,,640 N 66th St,,,Philadelphia,PA,19151,,(215)472-8770,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,640 N 66th St,4007,Philadelphia,"-75.25165,39.973137",101,"640 N 66th St, Philadelphia, PA, 19151",1,Non_Exact,Match,39.973137,-75.25165,"640 N 66TH ST, PHILADELPHIA, PA, 19151",L,PA,42,131397053,010000,19151
2,2017-2018,42,PENNSYLVANIA,PA,Manchester Academic CS,Manchester Academic CS,1,,PA-102023030,4200017,PA-102023030-7549,420001700336,4200336,1214 Liverpool Street,,,Pittsburgh,PA,15233,1304.0,1214 Liverpool Street,,,Pittsburgh,PA,15233,1304.0,(412)322-0585,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1214 Liverpool Street,2027,Pittsburgh,"-80.02321,40.45561",003,"1214 Liverpool Street, Pittsburgh, PA, 15233",2,Exact,Match,40.45561,-80.02321,"1214 LIVERPOOL ST, PITTSBURGH, PA, 15233",R,PA,42,51625914,210700,15233
3,2017-2018,42,PENNSYLVANIA,PA,Urban Academy of Greater Pittsburgh CS,Urban Academy of Greater Pittsburgh CS,1,,PA-103023090,4200019,PA-103023090-7563,420001900338,4200338,437 Turret Street,,,Pittsburgh,PA,15206,,437 Turret Street,,,Pittsburgh,PA,15206,,(412)361-1008,http://www.urbanacademypgh.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,437 Turret Street,1020,Pittsburgh,"-79.909775,40.462067",003,"437 Turret Street, Pittsburgh, PA, 15206",3,Non_Exact,Match,40.462067,-79.909775,"437 TURRETT ST, PITTSBURGH, PA, 15206",L,PA,42,51646883,120400,15206
4,2017-2018,42,PENNSYLVANIA,PA,Nittany Valley CS,Nittany Valley CS,1,,PA-110143120,4200024,PA-110143120-7566,420002400352,4200352,1612 Norma St,,,State College,PA,16801,,1612 Norma St,,,State College,PA,16801,,(814)867-3842,http://www.nvcs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1612 Norma St,3023,State College,"-77.84105,40.78354",027,"1612 Norma St, State College, PA, 16801",4,Exact,Match,40.78354,-77.84105,"1612 NORMA ST, STATE COLLEGE, PA, 16801",R,PA,42,50371225,012700,16801
5,2017-2018,42,PENNSYLVANIA,PA,Sylvan Heights Science CS,Sylvan Heights Science CS,1,,PA-115223050,4200027,PA-115223050-7551,420002700366,4200366,915 S 13th Street,,,Harrisburg,PA,17104,,915 S 13th Street,,,Harrisburg,PA,17104,,(717)232-9220,http://www.shscs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,115222752.0,Harrisburg City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,915 S 13th Street,1018,Harrisburg,"-76.863976,40.252953",043,"915 S 13th Street, Harrisburg, PA, 17104",5,Exact,Match,40.252953,-76.863976,"915 S 13TH ST, HARRISBURG, PA, 17104",L,PA,42,636143872,021400,17104
6,2017-2018,42,PENNSYLVANIA,PA,Chester Community CS,Chester Community CS,1,,PA-125232950,4200035,PA-125232950-7539,420003500388,4200388,302 East 5th Street,,,Chester,PA,19013,,302 East 5th Street,,,Chester,PA,19013,,(610)447-0400,http://www.chestercommunitycharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,125231232.0,Chester-Upland SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,302 East 5th Street,2026,Chester,"-75.36533,39.84597",045,"302 East 5th Street, Chester, PA, 19013",6,Non_Exact,Match,39.84597,-75.36533,"302 W 5TH ST, CHESTER, PA, 19013",R,PA,42,134881915,410700,19013
7,2017-2018,42,PENNSYLVANIA,PA,Alliance for Progress CS,Alliance for Progress CS,1,,PA-126512990,4200039,PA-126512990-7543,420003900398,4200398,1821-39 Cecil B Moore Avenue,,,Philadelphia,PA,19121,,1821-39 Cecil B Moore Avenue,,,Philadelphia,PA,19121,,(215)232-4892,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1821-39 Cecil B Moore Avenue,2008,Philadelphia,"-75.16512,39.979626",101,"1821-39 Cecil B Moore Avenue, Philadelphia, PA, 19121",7,Exact,Match,39.979626,-75.16512,"1821 CECIL B MOORE AVE, PHILADELPHIA, PA, 19121",R,PA,42,131405925,014700,19121
8,2017-2018,42,PENNSYLVANIA,PA,West Oak Lane CS,West Oak Lane CS,1,,PA-126513020,4200041,PA-126513020-7548,420004100403,4200403,7115 Stenton Ave,,,Philadelphia,PA,19138,,7115 Stenton Ave,,,Philadelphia,PA,19138,,(215)927-7995,http://www.wolcs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,7115 Stenton Ave,3005,Philadelphia,"-75.16233,40.05776",101,"7115 Stenton Ave, Philadelphia, PA, 19138",8,Exact,Match,40.05776,-75.16233,"7115 STENTON AVE, PHILADELPHIA, PA, 19138",R,PA,42,131395682,026400,19138
9,2017-2018,42,PENNSYLVANIA,PA,Inquiry Charter School,Inquiry Charter School,1,,PA-126513070,4200042,PA-126513070-7557,420004200404,4200404,1630 Locust Street 3rd Floor,,,Philadelphia,PA,19103,,1301 Belmont Avenue,,,Philadelphia,PA,19104,,(215)790-1294,http://www.cea-philly.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported,1301 Belmont Avenue,2002,Philadelphia,"-75.21264,39.974834",101,"1301 Belmont Avenue, Philadelphia, PA, 19104",9,Exact,Match,39.974834,-75.21264,"1301 BELMONT AVE, PHILADELPHIA, PA, 19104",R,PA,42,131398636,011000,19104
10,2017-2018,42,PENNSYLVANIA,PA,Eugenio Maria DE Hostos CS,Eugenio Maria De Hostos CS,1,,PA-126513100,4200043,PA-126513100-7564,420004300405,4200405,4322 N 5th Street,3rd Floor,,Philadelphia,PA,19140,,6310 N 2nd Street,,,Philadelphia,PA,19120,,(215)324-7012,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,6310 N 2nd Street,,Philadelphia,,,"6310 N 2nd Street, Philadelphia, PA, 19120",10,,No_Match,,,,,PA,,,,19120
11,2017-2018,42,PENNSYLVANIA,PA,Laboratory CS,Laboratory CS,1,,PA-126513110,4200044,PA-126513110-7565,420004400406,4200406,Administrative Office,5901 Woodbine Avenue,,Philadelphia,PA,19131,,Administrative Office,5901 Woodbine Avenue,,Philadelphia,PA,19131,,(215)452-5580,http://www.thelaboratorycharterschool.com/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,Administrative Office,,Philadelphia,,,"Administrative Office, Philadelphia, PA, 19131",11,,No_Match,,,,,PA,,,,19131
12,2017-2018,42,PENNSYLVANIA,PA,Wonderland CS,Wonderland CS,1,,PA-110143310,4200047,PA-110143310-7626,420004700445,4200445,2112 Sandy Drive,,,State College,PA,16803,2282.0,2112 Sandy Drive,,,State College,PA,16803,2282.0,(814)234-5886,http://www.wonderlandcharter.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,2112 Sandy Drive,2010,State College,"-77.90423,40.784687",027,"2112 Sandy Drive, State College, PA, 16803",12,Exact,Match,40.784687,-77.90423,"2112 SANDY DR, STATE COLLEGE, PA, 16803",L,PA,42,50390327,011902,16803
13,2017-2018,42,PENNSYLVANIA,PA,Christopher Columbus CS,Christopher Columbus CS,1,,PA-126513160,4200052,PA-126513160-7575,420005200489,4200489,South Building,1242-46 S 13th St,,Philadelphia,PA,19147,4528.0,South Building,1242-46 S 13th St,,Philadelphia,PA,19147,4528.0,(215)389-6000,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,South Building,,Philadelphia,,,"South Building, Philadelphia, PA, 19147",13,,No_Match,,,,,PA,,,,19147
14,2017-2018,42,PENNSYLVANIA,PA,Lincoln CS,Lincoln CS,1,,PA-112673500,4200065,PA-112673500-7675,420006500567,4200567,559 W King Street,,,York,PA,17401,3706.0,559 W King Street,,,York,PA,17401,3706.0,(717)699-1573,http://www.lincolncharterschoolpa.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,112679002.0,York City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,559 W King Street,2003,York,"-76.741295,39.956657",133,"559 W King Street, York, PA, 17401",14,Non_Exact,Match,39.956657,-76.741295,"559 W KING ST, YORK, PA, 17401",R,PA,42,88730963,001200,17401
15,2017-2018,42,PENNSYLVANIA,PA,Bucks County Montessori CS,Bucks County Montessori CS,1,,PA-122093460,4200069,PA-122093460-7670,420006900562,4200562,219 Tyburn Rd,,,Fairless Hills,PA,19030,,219 Tyburn Rd,,,Fairless Hills,PA,19030,,(215)428-6700,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,122098202.0,Pennsbury SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,219 Tyburn Rd,,Fairless Hills,,,"219 Tyburn Rd, Fairless Hills, PA, 19030",15,,No_Match,,,,,PA,,,,19030
16,2017-2018,42,PENNSYLVANIA,PA,Souderton CS Collaborative,Souderton CS Collaborative,1,,PA-123463370,4200070,PA-123463370-7638,420007000514,4200514,110 E Broad Street,,,Souderton,PA,18964,,110 E Broad Street,,,Souderton,PA,18964,,(215)721-4560,http://www.scsc4kids.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,123467103.0,Souderton Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,110 E Broad Street,,Souderton,,,"110 E Broad Street, Souderton, PA, 18964",16,,Tie,,,,,PA,,,,18964
17,2017-2018,42,PENNSYLVANIA,PA,Global Leadership Academy CS,Global Leadership Academy CS,1,,PA-126513380,4200073,PA-126513380-7639,420007300515,4200515,4601 Girard Avenue,,,Philadelphia,PA,19131,,4601 Girard Avenue,,,Philadelphia,PA,19131,,(267)295-5700,http://www.glacharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,4601 Girard Avenue,1012,Philadelphia,"-75.21408,39.973038",101,"4601 Girard Avenue, Philadelphia, PA, 19131",17,Non_Exact,Match,39.973038,-75.21408,"4601 W GIRARD AVE, PHILADELPHIA, PA, 19131",R,PA,42,131398833,011100,19131
18,2017-2018,42,PENNSYLVANIA,PA,Independence CS,Independence CS,1,,PA-126513510,4200087,PA-126513510-7683,420008700584,4200584,1600 Lombard Street,,,Philadelphia,PA,19146,,1600 Lombard Street,,,Philadelphia,PA,19146,,(215)238-8000,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1600 Lombard Street,2008,Philadelphia,"-75.16866,39.94507",101,"1600 Lombard Street, Philadelphia, PA, 19146",18,Exact,Match,39.94507,-75.16866,"1600 LOMBARD ST, PHILADELPHIA, PA, 19146",L,PA,42,131407852,001202,19146
19,2017-2018,42,PENNSYLVANIA,PA,Russell Byers CS,Russell Byers CS,1,,PA-126510001,4200092,PA-126510001-7677,420009200577,4200577,1911 Arch St,,,Philadelphia,PA,19103,1403.0,1911 Arch St,,,Philadelphia,PA,19103,1403.0,(215)972-1700,http://www.byerschool.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,PK,07,Elementary,As reported,1911 Arch St,1031,Philadelphia,"-75.17141,39.955437",101,"1911 Arch St, Philadelphia, PA, 19103",19,Exact,Match,39.955437,-75.17141,"1911 ARCH ST, PHILADELPHIA, PA, 19103",R,PA,42,131407370,000300,19103
