SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2017-2018,42,PENNSYLVANIA,PA,Chester Co Family Academy CS,Chester Co Family Academy CS,1,,PA-124152880,4200012,PA-124152880-7514,420001200311,4200311,530 E. Union Street,,,West Chester,PA,19382,,530 E. Union Street,,,West Chester,PA,19382,,(610)696-5910,http://www.ccfaschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,124159002.0,West Chester Area SD,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,02,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Harambee Institute of Science and Techno,Harambee Institute of Science and Technology CS,1,,PA-126512850,4200014,PA-126512850-7511,420001400319,4200319,640 N 66th St,,,Philadelphia,PA,19151,,640 N 66th St,,,Philadelphia,PA,19151,,(215)472-8770,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Manchester Academic CS,Manchester Academic CS,1,,PA-102023030,4200017,PA-102023030-7549,420001700336,4200336,1214 Liverpool Street,,,Pittsburgh,PA,15233,1304.0,1214 Liverpool Street,,,Pittsburgh,PA,15233,1304.0,(412)322-0585,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Urban Academy of Greater Pittsburgh CS,Urban Academy of Greater Pittsburgh CS,1,,PA-103023090,4200019,PA-103023090-7563,420001900338,4200338,437 Turret Street,,,Pittsburgh,PA,15206,,437 Turret Street,,,Pittsburgh,PA,15206,,(412)361-1008,http://www.urbanacademypgh.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Nittany Valley CS,Nittany Valley CS,1,,PA-110143120,4200024,PA-110143120-7566,420002400352,4200352,1612 Norma St,,,State College,PA,16801,,1612 Norma St,,,State College,PA,16801,,(814)867-3842,http://www.nvcs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Sylvan Heights Science CS,Sylvan Heights Science CS,1,,PA-115223050,4200027,PA-115223050-7551,420002700366,4200366,915 S 13th Street,,,Harrisburg,PA,17104,,915 S 13th Street,,,Harrisburg,PA,17104,,(717)232-9220,http://www.shscs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,115222752.0,Harrisburg City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Chester Community CS,Chester Community CS,1,,PA-125232950,4200035,PA-125232950-7539,420003500388,4200388,302 East 5th Street,,,Chester,PA,19013,,302 East 5th Street,,,Chester,PA,19013,,(610)447-0400,http://www.chestercommunitycharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,125231232.0,Chester-Upland SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Alliance for Progress CS,Alliance for Progress CS,1,,PA-126512990,4200039,PA-126512990-7543,420003900398,4200398,1821-39 Cecil B Moore Avenue,,,Philadelphia,PA,19121,,1821-39 Cecil B Moore Avenue,,,Philadelphia,PA,19121,,(215)232-4892,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,West Oak Lane CS,West Oak Lane CS,1,,PA-126513020,4200041,PA-126513020-7548,420004100403,4200403,7115 Stenton Ave,,,Philadelphia,PA,19138,,7115 Stenton Ave,,,Philadelphia,PA,19138,,(215)927-7995,http://www.wolcs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Inquiry Charter School,Inquiry Charter School,1,,PA-126513070,4200042,PA-126513070-7557,420004200404,4200404,1630 Locust Street 3rd Floor,,,Philadelphia,PA,19103,,1301 Belmont Avenue,,,Philadelphia,PA,19104,,(215)790-1294,http://www.cea-philly.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported
