,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Incident Address,Address Type,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane)
0,35744776,03/19/2017 05:51:46 PM,04/05/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,10025,110 WEST   96 STREET,ADDRESS,07 MANHATTAN,MANHATTAN,993066,228232
1,35744789,03/19/2017 07:40:46 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11206,46 COOK STREET,ADDRESS,01 BROOKLYN,BROOKLYN,1000303,195172
2,35745628,03/19/2017 04:27:58 PM,04/16/2018 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,11208,971 GLENMORE AVENUE,ADDRESS,05 BROOKLYN,BROOKLYN,1019161,185734
3,35745917,03/19/2017 01:35:55 AM,03/24/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10032,600 WEST  161 STREET,ADDRESS,12 MANHATTAN,MANHATTAN,999931,244102
4,35746077,03/18/2017 06:01:29 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11214,8891 20 AVENUE,ADDRESS,11 BROOKLYN,BROOKLYN,983071,157446
5,35746078,03/18/2017 02:39:10 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11226,21 SAINT PAUL'S COURT,ADDRESS,14 BROOKLYN,BROOKLYN,994817,176400
6,35746196,03/19/2017 05:20:26 AM,03/24/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10001,446 WEST   34 STREET,ADDRESS,04 MANHATTAN,MANHATTAN,984807,214011
7,35746198,03/19/2017 12:00:25 PM,03/27/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11222,67 INDIA STREET,ADDRESS,01 BROOKLYN,BROOKLYN,996063,205993
8,35746428,03/18/2017 04:00:26 PM,03/20/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,10016,601 2 AVENUE,ADDRESS,06 MANHATTAN,MANHATTAN,990781,210340
9,35746429,03/19/2017 12:05:07 AM,03/20/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,11223,2882 86 STREET,ADDRESS,13 BROOKLYN,BROOKLYN,990827,154715
10,35746475,03/18/2017 03:39:44 PM,06/05/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,11414,162-42 92 STREET,ADDRESS,10 QUEENS,QUEENS,1028797,177333
11,35746513,03/20/2017 03:20:54 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,BROADWAY,ADDRESS,Unspecified MANHATTAN,MANHATTAN,,
12,35746757,03/20/2017 12:38:46 PM,03/27/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11374,98-17 QUEENS BOULEVARD,ADDRESS,06 QUEENS,QUEENS,1023711,204688
13,35746759,03/20/2017 11:56:07 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10039,2730 8 AVENUE,ADDRESS,10 MANHATTAN,MANHATTAN,1000349,239099
14,35746805,03/20/2017 06:13:17 AM,04/21/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11362,255-10 UPLAND ROAD,ADDRESS,11 QUEENS,QUEENS,1059758,219204
15,35747071,03/20/2017 12:16:32 PM,07/03/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,10031,747 SAINT NICHOLAS AVENUE,ADDRESS,09 MANHATTAN,MANHATTAN,999854,240076
16,35748018,03/20/2017 01:46:18 AM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",11434,179-55 ANDERSON ROAD,ADDRESS,12 QUEENS,QUEENS,1049952,188341
17,35746514,03/20/2017 01:39:24 PM,06/02/2017 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,11355,54-18 153 STREET,ADDRESS,07 QUEENS,QUEENS,1035628,210909
18,35748074,03/20/2017 03:38:04 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,215 PLACE,ADDRESS,Unspecified QUEENS,QUEENS,,
19,35748075,03/20/2017 07:36:23 PM,03/30/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,10310,290 MYRTLE AVENUE,ADDRESS,01 STATEN ISLAND,STATEN ISLAND,950538,168314
20,35748077,03/20/2017 06:29:53 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10459,1054 SOUTHERN BOULEVARD,ADDRESS,02 BRONX,BRONX,1014171,239626
21,35748264,03/20/2017 11:09:59 AM,03/20/2017 11:09:59 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,11369,31-38 94 STREET,ADDRESS,03 QUEENS,QUEENS,1018969,215989
22,35748520,03/20/2017 07:38:15 AM,03/20/2017 07:38:15 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10451,773 CONCOURSE VILLAGE EAST,ADDRESS,04 BRONX,BRONX,1006436,239158
23,35748684,03/20/2017 11:39:51 AM,04/14/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11216,81 MACON STREET,ADDRESS,03 BROOKLYN,BROOKLYN,998628,187482
